name,lat,lon
Jane St / Bloor St W (Jane Subway Station),43.64976,-79.48477
Neil McLellan Park,43.65143,-79.47779
Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974
Briar Hill Ave / Yonge St - SMART,43.713524,-79.400162
Blythwood Rd / Yonge St - SMART,43.716652,-79.399993
Gerrard St E / Main St,43.684261,-79.299332
Eastwood Rd / Woodbine Ave - SMART,43.676216,-79.309395
Summerhill Ave / Maclennan Ave,43.685924,-79.376304
Sumach St  / Queen St E,43.656638,-79.358749
324 Cherry St,43.6482995,-79.3552533
Sackville St / Eastern Ave - SMART,43.653809,-79.3595
Davenport Rd / McAlpine St - SMART,43.673768,-79.391253
Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865
128 Sterling Rd - SMART,43.654004,-79.444792
Humberside Grounds - SMART,43.65917,-79.46997
University Ave / College St (East),43.65995,-79.38964
Gerrard St E / Malvern Ave - SMART,43.685221,-79.294766
Gerrard St E / Victoria Park Ave - SMART,43.686962,-79.286864
Ontario St / Adelaide St E -SMART,43.6535052,-79.3667689
Berkeley St / Adelaide St E - SMART,43.653359,-79.365023
Berkeley St / Dundas St E - SMART,43.658816,-79.367318
Humber Bay Shores Park / Marine Parade Dr,43.626265,-79.476723
Amos Waites Park,43.613606,-79.4883535
Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148
Ripley Ave / Ormskirk Ave,43.6390437,-79.4760109
Lake Shore Blvd W / Colborne Lodge Dr,43.63771,-79.458173
406 Oakwood Ave,43.68827060022711,-79.43937767081853
St Clarens Ave / Shirley St,43.6486599,-79.4376413
Emerson Ave / Bloor St W,43.659055,-79.440764
Wallace Ave / Pauline Ave,43.6632257,-79.4397052
Lynn Williams St / East Liberty St - SMART,43.638925,-79.4168659
Lisgar Park,43.6423847,-79.4240277
Bartlett Parkette,43.6702236,-79.4360232
Joseph J Piccininni Community Centre,43.675648,-79.4527619
Spadina Rd / Austin Terrace,43.67883,-79.408723
Symington Ave / Davenport Rd,43.6704403,-79.45328549999999
Sherbourne St N / Elm Ave,43.6752732,-79.3778458
541 Huron St - SMART,43.670206,-79.402643
Housey St / Dan Leckie Way,43.63811,-79.397877
Walnut Ave / Queen St W,43.645469,-79.411084
Palmerston Ave / Dundas St W,43.651603,-79.408346
Euclid Ave / Herrick St - SMART,43.661559,-79.413845
Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856
Davisville Ave / Pailton Cres,43.69933,-79.39199
Alvin Ave / St Clair Ave E,43.68871,-79.39264
Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528
Queen St W / John St,43.650077,-79.391291
Nassau St / Bellevue Ave,43.65484215542248,-79.40351232494366
Baldwin St / Henry St,43.6560758,-79.393259
Ross St / Cecil St - SMART,43.6568254,-79.3966159
Orde St / McCaul St,43.6580442,-79.3927404
St. Joseph St / Bay St - SMART,43.6658804,-79.38761010000002
439 Sherbourne St,43.666051,-79.374161
The Esplanade / Hahn Pl,43.649709,-79.364184
Lake Shore Blvd W / Thirty Ninth Street,43.5927419,-79.54033009999999
Lake Shore Blvd W / Twenty Fourth St,43.597082,-79.522768
Humber College,43.5961692,-79.5160575
Royal York Rd / Mimico Ave,43.612063,-79.496573
Windsor St / Newcastle St,43.6171635,-79.4971065
The Queensway / High St,43.630874,-79.482407
Berry Rd / Bell Manor Dr,43.63732,-79.489083
Swansea Community Centre,43.6438036,-79.4770327
Annette St / Jane St,43.658574,-79.487246
Priscilla  Ave / Dundas St W,43.664665,-79.489385
St Clair Ave W / Castleton Ave,43.668496,-79.485426
Durie St / Dundas St W,43.665523,-79.484892
St Clair Ave W / Gunns Rd,43.672079,-79.470171
Weston Rd / St Clair Ave W - SMART,43.673019,-79.467994
Weston Lions Park,43.698841,-79.519472
Jameson Ave / Queen St W,43.63985,-79.43703
Toronto Inukshuk Park,43.6323994,-79.40978179999999
Carlaw Ave / Dundas St E,43.665076,-79.341509
Highfield Rd / Gerrard St E,43.671771,-79.324961
Cosburn Ave / Durant Ave,43.6935477,-79.3301658
Bayview Ave / Lawren Harris Square,43.6548521,-79.35397680000001
Front St E / Bayview Avenue,43.6535,-79.354068
Oak St / Sumach St,43.6617908,-79.361515
Glebe Rd W / Yonge St,43.7005976,-79.397345
Hillsdale Ave W / Yonge St,43.7029672,-79.3979073
High Park Ave / Dundas St W,43.6653032,-79.4701178
Alameda Ave / Vaughan Rd - SMART,43.690903,-79.4375028
Eglinton Ave W / Scarlett Rd,43.6834703,-79.5108942
The Pond Rd / Sentinel Rd,43.7696262,-79.5025943
Sentinel Rd / Finch Corridor Trail,43.7641485,-79.5012809
Finch West Subway Station,43.76521,-79.491281
Dufferin St / Finch Corridor Trail,43.7724019,-79.4675395
G Ross Lord Park,43.7781116,-79.467963
Torresdale Ave / Antibes Dr,43.77953,-79.45233
Esther Shiner Stadium,43.7774374,-79.4447096
Elwood Blvd / Avenue Rd,43.707049,-79.40966
Roehampton Ave / Bayview Ave,43.711751,-79.378615
Fleming Cres / Bayview Ave,43.707045,-79.375437
Moore Park,43.693256,-79.383238
Langford Ave / Danforth Ave - SMART,43.6800218,-79.3405681
Yonge St / Golfdale Rd,43.732016,-79.403637
Teddington Park Ave,43.732975,-79.40401
Richmond St W / York St,43.650745,-79.383633
Ursula Franklin St / Huron St - SMART,43.660274,-79.398049
Brick Works,43.683884,-79.36647
Woodbine Ave / O'Connor Dr,43.699281,-79.318802
St Columba Pl / St Clair Ave E,43.70567,-79.310554
Lumsden Ave / Eastdale Ave,43.69413548199171,-79.30058718775287
Dawes Rd / Taylor Creek Trl,43.696631,-79.297436
Fairmount Park,43.6765897,-79.3163022
Wilket Creek Park,43.720645,-79.355474
Sunnybrook Park,43.720233,-79.362092
Kingston Rd / Beech Ave,43.680095,-79.291714
Victoria Park Ave / Danforth Ave,43.691468,-79.288619
Livingston Rd / Guildwood Pkwy,43.747854,-79.199327
Livingston Rd (Highland Creek Trail),43.7561681,-79.2026694
Morningside Park (Highland Creek Trail),43.779353,-79.193023
Colonel Danforth Park,43.7777114,-79.1659711
Waterfront Trail (Rouge Hill),43.778015,-79.131911
Starspray Ave / Lawrence Ave E,43.788319,-79.123505
Vaughan Rd / Oakwood Ave,43.6926825,-79.441042
Braemar Ave / Eglinton Ave W,43.7041957,-79.4094472
Eglinton Ave E / Redpath Ave,43.7078691,-79.39248
Marie Curtis Park,43.5880774,-79.5432067
